<<<<<<< HEAD
11917 35
9470 29
19583 48
23748 34
15976 41
28708 40
2784 38
27349 56
27440 39
22214 45
8552 45
20699 31
18939 41
1187 55
8350 50
17589 42
20812 45
28957 39
15318 38
12490 38
26056 38
27950 31
12410 40
8721 44
19742 39
9741 32
4426 39
24286 37
28063 42
25313 41
13569 44
1152 36
24184 46
19861 38
15050 44
9587 49
7298 43
8448 39
28295 49
4698 40
27657 35
25437 50
564 43
7566 50
13959 34
21962 45
23220 38
8246 36
231 32
11663 43
26473 44
2538 59
17294 43
25661 36
16276 49
28703 48
9078 39
23087 49
6993 41
24266 41
26351 37
13556 40
25664 35
16725 49
29967 47
12755 28
28048 49
15334 54
22450 45
21721 48
3187 58
4150 28
618 50
14550 31
1948 39
19275 43
3026 49
18075 61
15973 33
15629 41
14317 52
20565 39
16532 59
20685 46
23976 54
4683 35
18113 46
24397 41
19672 42
2845 40
19055 38
6016 42
15181 35
10647 49
1225 48
29649 44
19923 48
16335 42
2571 45
11277 37
21333 37
21191 51
487 37
10481 48
2706 33
27369 39
10108 43
20336 35
27724 45
16018 38
10142 38
28867 47
8654 55
19540 36
29395 49
5049 57
8146 50
27522 47
20016 34
11614 47
4751 45
6273 52
8420 30
15919 50
29544 44
16941 54
2061 29
8774 46
15830 34
6964 32
19589 39
29494 55
15576 41
4047 46
13449 31
23462 44
15108 40
20983 41
7766 43
16225 43
8732 48
23445 44
20244 42
15552 32
12164 39
11418 51
4956 36
9983 53
8148 44
28078 41
13174 43
29195 40
4262 45
7865 44
21915 33
27954 45
27775 36
18016 44
4519 45
11640 40
4401 53
25111 43
4461 38
27118 40
7048 38
20119 39
12656 33
8307 40
7012 44
12051 29
9742 55
1028 32
23700 44
1666 35
28260 43
16570 40
29680 47
22665 48
15265 50
28096 39
5875 45
18515 40
23711 40
18219 38
16808 44
28399 35
10927 35
99 56
8186 46
5909 45
14704 46
28067 51
28602 37
28782 44
11845 47
27112 43
23859 42
7494 50
10613 31
3640 48
6299 36
14611 49
27245 51
2586 49
22633 49
25632 37
27603 55
8439 39
2009 39
5556 56
28193 39
29774 46
11533 45
3619 45
16041 46
8717 46
29095 41
1495 48
24434 43
28224 50
13195 46
7861 52
11209 36
11230 41
16473 32
24441 36
8113 45
26544 43
13871 38
25627 48
13855 42
26948 43
27736 59
15378 47
9658 33
15147 36
771 61
1432 38
14598 47
13145 44
13501 40
17855 44
8591 35
10204 47
5889 36
22671 41
13716 38
13874 33
22876 37
7665 51
19547 46
27489 32
20959 42
2554 35
15334 46
6253 49
7444 38
25445 37
21262 47
2349 30
15699 35
15961 46
12539 36
17543 34
8671 47
16547 49
3828 48
29507 32
28971 33
21277 39
17455 38
5467 44
27121 44
19992 49
26954 37
13894 36
10032 50
18805 45
17778 34
21745 47
19390 47
5863 36
9543 48
21237 52
24504 39
23851 50
18815 49
16286 62
26154 39
17968 46
28325 34
14611 53
7218 32
20043 34
7551 49
27023 39
22224 40
26099 40
20849 39
10658 29
21583 34
5993 30
12743 34
7822 47
17013 45
9741 44
15582 50
16692 39
12627 31
15881 40
22602 45
24458 44
11313 49
22546 49
9407 39
17396 41
28354 37
2040 48
9049 39
26091 39
23771 41
24429 55
284 38
17327 46
1572 40
15132 48
15097 44
27225 55
17982 42
25601 40
353 39
2936 42
21839 44
15012 37
29364 51
12589 36
18572 45
14398 39
=======
9937 45
22032 34
488 47
4708 45
2848 41
11948 43
84 31
29026 42
6857 50
21930 38
22654 39
27903 46
4769 45
17068 52
17158 33
28910 28
6439 47
26231 42
13980 49
2525 46
17258 48
3011 36
5221 42
26638 41
26140 55
1211 29
29140 35
11640 41
28103 55
25536 40
21498 48
29720 27
20875 46
17484 48
12640 43
1765 44
20210 38
14045 45
1112 52
28364 39
4828 37
12985 49
2529 47
18043 47
18991 38
23046 47
6287 35
25866 50
18841 46
20362 33
22474 38
9021 42
27606 48
13874 43
27103 40
2886 40
14771 41
12349 35
5433 33
21462 35
15151 39
3968 36
10771 37
9774 56
5674 38
26154 41
9667 41
23117 43
10422 38
18518 37
23940 41
18640 53
28176 54
5432 38
5333 40
8879 44
1371 49
6773 45
10018 42
14342 36
10915 41
5896 48
17407 32
3273 46
7867 33
12839 50
21003 41
1066 45
10402 48
8109 37
8169 40
29682 42
12883 48
28238 24
10810 47
28691 38
23190 47
28525 37
3 51
4260 42
14724 48
11067 30
24599 46
20604 43
691 43
27331 37
16742 44
29950 47
20417 33
24033 40
6083 40
2156 45
10535 44
19138 48
29312 41
13544 43
17871 38
1189 37
12310 36
16435 42
15824 39
20079 37
8914 38
26213 32
1937 51
10663 43
12926 29
11526 36
11142 34
12377 41
18474 34
15429 32
16975 46
28197 35
18389 36
20962 49
1712 42
24922 47
10624 39
3720 38
6052 49
13783 35
29140 42
6515 46
9535 48
15928 48
27942 39
27184 47
14379 38
11220 48
25223 47
32 40
27910 50
1207 42
8694 41
4185 45
12115 36
27881 40
13340 44
18482 42
3178 37
9138 41
28828 37
2171 40
19151 45
29507 52
5839 36
13899 47
20068 49
20856 43
18452 33
28035 43
21989 44
2323 40
23622 34
7397 50
4515 42
1748 33
8547 43
4956 47
20332 36
12286 53
12472 35
23938 41
5304 38
17782 38
21151 42
6144 54
8508 42
18771 40
19780 45
22039 34
23431 58
17745 42
13764 47
13420 47
4344 45
17490 54
26182 44
20087 39
15514 39
9929 39
26201 45
6066 30
5602 49
14965 35
4076 46
28446 46
15155 41
19330 38
25655 41
22860 43
1597 36
4344 46
2533 44
4043 49
23604 48
28915 46
3196 41
27752 38
25117 53
29873 37
5572 57
21600 52
18582 52
26002 41
12460 56
17078 39
27259 39
14827 50
8317 52
23198 42
17661 46
12312 48
28756 50
3768 32
25301 44
25206 38
13004 35
15358 34
20029 46
23762 51
24352 47
1466 49
21218 41
28996 61
14344 52
308 39
18045 46
3523 46
3164 38
18993 49
5978 36
18306 35
21229 47
15625 47
7420 42
9433 32
15603 39
23085 37
12214 44
19181 46
19277 43
3920 41
22416 46
14289 44
1815 32
14827 36
5402 38
1395 45
26205 45
21768 39
19906 44
5096 33
9059 50
12732 39
11160 34
8039 31
9525 31
14528 43
13689 48
14810 39
16466 46
12870 36
13783 46
22192 33
13547 43
11273 60
27903 40
27644 40
17919 41
4000 54
8634 42
25491 45
10195 44
11474 47
15919 34
6482 42
1294 33
3113 34
28503 49
20904 35
15618 41
12642 43
18572 50
28456 45
9814 32
24335 34
1559 40
9507 44
2091 39
5597 47
3111 44
12251 40
28750 54
21607 32
26005 38
8572 38
12193 40
11538 31
1718 40
28180 52
18202 42
3076 38
4055 31
25771 51
19773 37
2618 46
5972 45
29587 50
230 46
12630 42
15359 52
1797 25
19663 45
5165 46
11130 36
11644 37
26050 34
11497 37
27474 37
11213 46
25670 38
2270 36
11578 44
21073 51
6545 32
349 41
8519 49
28826 45
23801 44
9892 44
26339 38
17877 46
26843 36
9835 40
14616 40
16400 48
25246 38
18170 45
982 46
17609 53
3190 37
14968 46
12247 44
12004 44
11083 39
7126 41
9818 26
20250 47
7874 47
16310 47
13126 40
1802 51
18222 36
13431 42
19743 43
19240 42
15426 45
28369 40
26726 42
21597 34
23560 44
22417 37
14595 45
1729 39
20859 42
23143 37
3062 33
12921 49
10852 45
7018 34
26391 41
8590 34
18166 46
4252 36
5848 39
15983 48
12286 44
22812 29
17316 37
256 54
24844 39
4561 53
23655 40
29288 35
14253 49
5849 35
13822 31
1930 36
15660 45
17759 53
4179 44
13206 42
14305 33
7449 51
1721 37
19236 37
26423 53
1792 38
14238 38
12331 44
13795 39
17633 46
28616 37
2844 34
5990 44
9596 37
15615 62
18899 47
8186 43
6393 36
7559 55
28146 29
22255 39
60 35
14363 41
17102 43
14534 48
9451 39
13289 41
23525 47
25365 54
29642 47
28701 46
25575 50
3115 46
2715 39
9927 32
8266 38
28893 49
2568 43
18091 45
22881 35
27714 37
7084 29
26479 39
8686 38
17229 43
25054 33
13646 38
8287 47
16545 44
2812 48
4044 35
28514 62
4912 40
16468 39
7465 39
7639 38
13314 40
20077 35
16053 44
7086 46
21162 38
27866 39
6009 43
21647 42
15397 45
29971 38
10451 50
6414 47
10342 48
25834 43
163 39
11370 36
3651 36
17551 50
149 45
5672 28
6597 33
7070 47
2062 53
23224 42
15817 53
26173 45
15643 31
9167 40
18411 51
26618 37
6332 38
23298 50
3041 43
29750 51
11148 40
11341 39
26331 38
206 39
10842 49
8302 47
26484 26
7142 41
13127 38
29854 39
24585 36
18603 27
29595 37
7937 42
8514 48
339 33
27573 42
5321 37
14853 42
29428 40
7873 52
21002 51
485 41
5631 40
9915 42
3739 32
17920 36
29346 36
7246 51
25032 53
16579 40
4436 35
28918 44
25164 40
26463 47
27070 45
15576 41
26782 49
20724 32
27960 42
13440 41
19703 31
9711 49
5114 44
4620 35
8357 33
1050 37
7391 41
8412 51
29358 40
28210 45
25705 44
25354 56
21293 28
13907 30
8781 42
13911 45
21792 33
14455 43
3813 40
18643 41
28389 38
26921 35
19308 54
18702 39
9560 48
12618 54
27694 43
16356 37
609 30
28070 53
19102 43
7089 47
5874 38
28111 45
14909 46
5564 51
3840 37
5303 31
303 41
25478 41
5438 43
25236 45
19224 40
25923 47
17822 38
8659 51
22542 38
12493 39
6427 41
18665 55
21336 48
27864 48
17061 46
4407 33
11513 51
4019 40
7143 41
1975 44
23846 46
16712 39
11005 48
18176 39
4830 38
12046 39
8432 41
4007 43
18409 44
25344 28
18318 52
21589 39
26837 48
23671 45
383 24
1262 46
499 53
5504 43
17537 32
14371 45
11552 33
4135 31
9392 43
22103 44
4711 40
5399 36
13924 38
11444 34
20431 38
5255 50
19126 46
5989 47
21028 35
18684 38
9809 32
11987 57
19129 38
8118 49
6458 50
8482 39
19991 45
7463 45
3248 42
4959 40
14934 60
6409 37
10913 45
280 36
22194 39
9409 36
27277 44
13072 49
14053 48
4242 43
13687 54
16014 48
5039 40
6639 41
9586 39
4718 37
15442 48
29849 46
9795 44
6045 47
17176 40
21447 33
19902 38
20829 47
25346 32
4008 46
4400 43
12010 37
8563 43
11511 53
9901 42
1165 44
24227 44
29570 43
1878 40
4355 39
1568 41
14706 55
17943 48
2034 29
5280 51
25954 35
3673 50
17608 51
6053 45
11125 41
18432 39
4916 40
1189 47
9975 41
8497 49
26611 48
18861 44
27432 47
13124 48
23003 42
23327 49
21874 45
15933 43
4482 40
5640 44
26164 41
9163 51
20131 33
25059 37
22924 53
11992 36
10524 37
10429 35
96 35
16168 53
4111 33
8352 36
8462 39
12679 58
13842 43
5945 33
9291 33
22168 47
3938 42
10340 45
17730 32
9120 39
5895 43
4991 39
25951 41
5694 36
7876 48
14057 39
29390 38
25316 44
2741 45
921 39
29679 33
18821 37
6914 48
14992 37
9068 48
27065 37
25202 36
2584 37
23280 41
23487 43
25582 39
2657 34
22813 52
28110 39
2698 52
16689 31
6715 46
10867 56
29616 44
13854 45
7822 54
27078 38
3995 53
18011 36
14316 43
11131 45
27473 41
1802 36
29306 41
16252 41
5606 43
15365 41
27892 47
28368 37
174 33
22820 39
29863 53
10732 44
6086 33
28792 46
5840 44
3008 38
21490 40
19743 38
5227 47
24052 33
11965 46
10874 41
5869 42
1512 40
7931 36
18743 29
17751 50
13789 41
28557 47
22605 45
26467 46
671 44
15568 44
3740 41
6511 46
8239 56
16403 40
21766 35
9720 30
21291 46
28143 31
89 55
20371 30
2691 32
21560 28
9214 45
5604 49
23578 45
18488 38
6707 37
7900 45
1383 33
5514 45
26020 53
25362 40
4042 39
22730 51
23335 51
15497 41
18662 44
17930 46
11898 44
19092 50
21193 43
4278 48
7106 28
2591 51
10434 39
12994 44
22833 38
155 33
4866 51
12086 43
20103 54
20287 50
14433 44
27598 28
23363 42
16525 51
21459 46
5179 51
27081 25
7322 41
5378 43
7083 33
6414 34
6693 37
24898 30
12941 44
10042 36
24705 46
28577 48
11814 44
1155 55
5251 43
20632 47
18153 33
23830 40
17889 42
13009 48
15310 49
16761 44
764 41
17459 40
7274 38
4445 35
2876 41
22471 37
12169 49
7556 46
16052 48
19491 43
9957 48
19226 32
20084 46
819 46
21549 39
12431 40
28497 43
18066 45
17291 52
5618 46
17370 37
24867 39
29424 46
28984 42
15500 44
10903 44
5765 46
2673 52
11070 41
16005 40
10373 43
309 28
27686 46
23313 48
1446 46
26983 37
11411 43
29080 23
27143 41
29868 32
20001 42
23767 40
6349 46
12213 31
16185 34
24596 39
23715 39
17361 55
18293 34
23622 43
6524 36
28926 34
24025 38
17801 46
15134 49
16037 56
6511 42
28319 48
18808 39
18866 29
26174 37
5693 28
4833 48
9380 34
7132 41
24851 39
20778 37
25389 41
3105 34
10521 48
17691 35
2579 33
24933 36
17803 39
5860 43
19219 49
19850 45
15824 36
14582 47
11733 49
11731 42
13780 39
23116 33
16201 30
11422 40
28569 39
1640 29
21210 39
17198 34
11514 42
8681 55
21251 39
27186 42
28429 44
24990 40
17090 39
8379 42
2462 41
3350 36
153 54
549 43
22779 50
19194 44
2125 41
18022 35
24204 49
8307 35
28411 38
7836 43
13443 39
25136 40
25147 38
29343 50
16434 42
28492 46
23815 36
7724 49
18760 37
10609 43
25345 34
2340 38
16859 53
20584 36
6920 48
10088 37
2014 38
4332 37
19350 37
4273 50
11804 48
10112 41
11094 57
>>>>>>> bd7ead029752b4fcb4cdf8a5d51791baa7e0947d
